0 193 1
0 11908 1
0 12727 1
0 14760 1
1 1506 1
1 2248 1
1 2307 1
1 2571 1
1 4196 1
1 5079 1
1 6425 1
1 8257 1
1 12550 1
1 13257 1
1 15716 1
1 16351 1
1 17848 1
1 17895 1
1 19590 1
1 19659 1
1 20307 1
1 21076 1
1 21637 1
1 22187 1
1 22388 1
1 24398 1
1 25131 1
1 25818 1
2 1736 1
2 1870 1
2 2192 1
2 2847 1
2 3288 1
2 4333 1
2 4349 1
2 4539 1
2 4878 1
2 4969 1
2 5740 1
2 8780 1
2 9456 1
2 12693 1
2 16580 1
2 17022 1
2 17023 1
2 18030 1
2 20084 1
2 20357 1
2 21021 1
2 22112 1
2 23691 1
3 6193 1
3 14123 1
3 21147 1
4 480 1
4 3261 1
4 4247 1
4 6603 1
4 7517 1
4 9563 1
4 9934 1
4 9969 1
4 10541 1
4 11860 1
4 12053 1
4 12233 1
4 12468 1
4 14333 1
4 14994 1
4 15023 1
4 15480 1
4 17476 1
4 18821 1
4 19172 1
4 19751 1
4 19895 1
4 20988 1
4 22186 1
4 22392 1
4 23845 1
4 23909 1
4 25358 1
4 25960 1
5 6071 1
5 12723 1
5 13776 1
5 14631 1
6 1209 1
6 2533 1
6 3158 1
6 3303 1
6 4970 1
6 6000 1
6 7652 1
6 8727 1
6 9066 1
6 13881 1
6 14687 1
6 15894 1
6 20576 1
6 24971 1
6 25233 1
6 25555 1
6 25722 1
7 7621 1
7 8063 1
7 12244 1
7 22943 1
8 424 1
8 479 1
8 1751 1
8 6051 1
8 9850 1
8 13560 1
8 19697 1
9 5697 1
9 15701 1
9 16519 1
9 19854 1
10 3107 1
10 3834 1
10 5788 1
10 8803 1
10 9400 1
10 9810 1
10 9864 1
10 9865 1
10 12541 1
10 19633 1
10 22889 1
10 25418 1
11 2483 1
11 13578 1
11 17111 1
11 17898 1
11 20318 1
11 22111 1
11 23155 1
12 2250 1
12 2648 1
12 19865 1
13 2510 1
13 4792 1
13 16512 1
13 25601 1
14 247 1
14 841 1
